0,1,2,3,4,5,6,7,8,9,10
frankfurter,pork,rolls/buns,grapes,,,,,,,
soda,processed cheese,,,,,,,,,
sausage,pastry,,,,,,,,,
beef,citrus fruit,napkins,semi-finished bread,brown bread,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
whole milk,newspapers,,,,,,,,,
pot plants,domestic eggs,,,,,,,,,
pork,dishes,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
whole milk,waffles,,,,,,,,,
hamburger meat,soda,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
rolls/buns,candy,onions,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
yogurt,pip fruit,misc. beverages,,,,,,,,
canned fruit,detergent,,,,,,,,,
photo/film,other vegetables,,,,,,,,,
newspapers,frozen dessert,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
other vegetables,kitchen towels,,,,,,,,,
root vegetables,coffee,napkins,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
domestic eggs,whole milk,artif. sweetener,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
canned fish,rolls/buns,domestic eggs,,,,,,,,
canned beer,soda,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
other vegetables,grapes,yogurt,butter milk,candy,soft cheese,,,,,
rolls/buns,chicken,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
other vegetables,mayonnaise,fruit/vegetable juice,,,,,,,,
other vegetables,sweet spreads,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
sausage,bottled water,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
pip fruit,waffles,,,,,,,,,
white bread,newspapers,,,,,,,,,
rolls/buns,salty snack,salty snack,,,,,,,,
whole milk,pork,rolls/buns,,,,,,,,
meat,canned beer,,,,,,,,,
coffee,soda,,,,,,,,,
liquor,tropical fruit,other vegetables,,,,,,,,
ham,whipped/sour cream,ketchup,,,,,,,,
sausage,butter,specialty bar,soda,whipped/sour cream,,,,,,
bottled water,soups,newspapers,root vegetables,shopping bags,,,,,,
root vegetables,rolls/buns,salty snack,,,,,,,,
pastry,pet care,,,,,,,,,
frozen meals,instant coffee,specialty chocolate,,,,,,,,
whole milk,onions,,,,,,,,,
chicken,pip fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
semi-finished bread,rolls/buns,fruit/vegetable juice,tropical fruit,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
pet care,mustard,,,,,,,,,
fruit/vegetable juice,bottled water,,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
rolls/buns,white bread,,,,,,,,,
rolls/buns,whole milk,frozen vegetables,newspapers,,,,,,,
baking powder,baking powder,mustard,,,,,,,,
syrup,whole milk,,,,,,,,,
chicken,beef,,,,,,,,,
curd,brown bread,,,,,,,,,
sausage,bottled beer,dessert,butter,cream cheese ,other vegetables,canned beer,brown bread,,,
margarine,rolls/buns,,,,,,,,,
pastry,kitchen towels,,,,,,,,,
rolls/buns,whole milk,other vegetables,,,,,,,,
cream cheese ,pip fruit,cat food,shopping bags,,,,,,,
meat,canned beer,,,,,,,,,
specialty chocolate,sauces,,,,,,,,,
liquor,UHT-milk,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
citrus fruit,dish cleaner,margarine,,,,,,,,
meat,newspapers,,,,,,,,,
shopping bags,UHT-milk,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
tropical fruit,berries,,,,,,,,,
napkins,rolls/buns,,,,,,,,,
soda,bottled water,,,,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
soft cheese,semi-finished bread,,,,,,,,,
waffles,cling film/bags,,,,,,,,,
soda,chewing gum,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
grapes,frozen vegetables,vinegar,,,,,,,,
soda,beverages,,,,,,,,,
tropical fruit,pastry,newspapers,,,,,,,,
soda,berries,,,,,,,,,
berries,other vegetables,,,,,,,,,
whole milk,cling film/bags,,,,,,,,,
soap,berries,,,,,,,,,
beef,candy,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
white bread,shopping bags,,,,,,,,,
canned fish,root vegetables,,,,,,,,,
root vegetables,whole milk,meat,other vegetables,dog food,bottled water,domestic eggs,,,,
butter,syrup,pickled vegetables,whole milk,,,,,,,
house keeping products,rolls/buns,pickled vegetables,curd,,,,,,,
whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns,,,
soda,beef,beef,rolls/buns,shopping bags,chocolate,processed cheese,brown bread,dessert,,
condensed milk,curd,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
other vegetables,yogurt,salty snack,,,,,,,,
popcorn,pork,margarine,beef,butter,,,,,,
pastry,pickled vegetables,,,,,,,,,
frozen vegetables,pasta,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
finished products,root vegetables,,,,,,,,,
specialty bar,chocolate,packaged fruit/vegetables,domestic eggs,cream cheese ,,,,,,
bottled beer,whole milk,soda,whole milk,soft cheese,soda,shopping bags,sugar,,,
soda,yogurt,,,,,,,,,
meat,tropical fruit,rolls/buns,,,,,,,,
chicken,citrus fruit,whole milk,berries,instant coffee,,,,,,
beef,frozen vegetables,,,,,,,,,
canned beer,red/blush wine,salty snack,,,,,,,,
canned beer,pip fruit,sugar,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
pork,honey,newspapers,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
specialty chocolate,white bread,,,,,,,,,
margarine,mayonnaise,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
other vegetables,curd,tropical fruit,brown bread,bottled beer,,,,,,
frozen meals,whole milk,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
chocolate,whole milk,yogurt,,,,,,,,
tropical fruit,waffles,,,,,,,,,
photo/film,canned beer,salty snack,curd,curd,whole milk,hygiene articles,,,,
sausage,soda,,,,,,,,,
bottled beer,canned fish,,,,,,,,,
brown bread,whole milk,,,,,,,,,
hygiene articles,chicken,,,,,,,,,
yogurt,whole milk,soft cheese,,,,,,,,
sausage,rolls/buns,waffles,,,,,,,,
salty snack,pip fruit,,,,,,,,,
rolls/buns,curd,,,,,,,,,
liver loaf,onions,,,,,,,,,
tropical fruit,soda,,,,,,,,,
white bread,baking powder,,,,,,,,,
house keeping products,fruit/vegetable juice,,,,,,,,,
hamburger meat,oil,,,,,,,,,
ready soups,shopping bags,,,,,,,,,
sausage,pip fruit,,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
frozen meals,finished products,chocolate,other vegetables,whole milk,packaged fruit/vegetables,napkins,salty snack,,,
whole milk,meat,yogurt,yogurt,yogurt,,,,,,
dish cleaner,bottled beer,fruit/vegetable juice,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
citrus fruit,white wine,,,,,,,,,
citrus fruit,berries,,,,,,,,,
citrus fruit,meat,,,,,,,,,
tropical fruit,napkins,frozen vegetables,pastry,,,,,,,
napkins,soda,,,,,,,,,
ice cream,whole milk,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
yogurt,beverages,,,,,,,,,
herbs,grapes,whipped/sour cream,,,,,,,,
bottled water,bottled water,,,,,,,,,
fruit/vegetable juice,curd,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
bottled water,coffee,sugar,bottled water,,,,,,,
bottled beer,berries,,,,,,,,,
chicken,soda,canned fish,,,,,,,,
whole milk,butter milk,rubbing alcohol,fruit/vegetable juice,,,,,,,
whole milk,pip fruit,whipped/sour cream,,,,,,,,
cat food,other vegetables,,,,,,,,,
rolls/buns,red/blush wine,canned beer,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
meat,soda,cream cheese ,,,,,,,,
curd,specialty bar,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
sausage,root vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whole milk,rolls/buns,cling film/bags,,,,,,,,
salty snack,waffles,specialty cheese,,,,,,,,
fruit/vegetable juice,salty snack,,,,,,,,,
coffee,dessert,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
meat,other vegetables,,,,,,,,,
beef,frozen fish,whole milk,,,,,,,,
beef,cling film/bags,bottled water,butter,sweet spreads,candy,,,,,
meat,semi-finished bread,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
frankfurter,white bread,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
sausage,sausage,frankfurter,sausage,whole milk,other vegetables,hygiene articles,shopping bags,shopping bags,,
beef,brown bread,,,,,,,,,
curd,chocolate,,,,,,,,,
oil,other vegetables,rolls/buns,,,,,,,,
root vegetables,waffles,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
bottled water,pastry,,,,,,,,,
yogurt,whole milk,,,,,,,,,
hamburger meat,citrus fruit,,,,,,,,,
tropical fruit,long life bakery product,napkins,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
berries,sliced cheese,,,,,,,,,
ham,brown bread,,,,,,,,,
whole milk,curd,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
dessert,bottled beer,,,,,,,,,
whole milk,canned beer,,,,,,,,,
newspapers,salty snack,,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
yogurt,brown bread,,,,,,,,,
sausage,curd,yogurt,,,,,,,,
beef,salty snack,whole milk,domestic eggs,fruit/vegetable juice,whipped/sour cream,cat food,,,,
other vegetables,rolls/buns,,,,,,,,,
meat,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,other vegetables,yogurt,newspapers,bottled water,pet care,,,,,
whole milk,yogurt,,,,,,,,,
beverages,packaged fruit/vegetables,,,,,,,,,
citrus fruit,other vegetables,fruit/vegetable juice,specialty bar,canned beer,,,,,,
frozen vegetables,soft cheese,,,,,,,,,
rolls/buns,pork,,,,,,,,,
coffee,soda,photo/film,domestic eggs,,,,,,,
canned beer,whole milk,,,,,,,,,
tropical fruit,bottled water,kitchen towels,processed cheese,,,,,,,
frankfurter,whole milk,,,,,,,,,
meat,other vegetables,,,,,,,,,
beef,canned beer,,,,,,,,,
pip fruit,artif. sweetener,hygiene articles,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
whole milk,curd,yogurt,candy,,,,,,,
pork,other vegetables,cream cheese ,,,,,,,,
whole milk,newspapers,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
berries,tropical fruit,whole milk,soda,,,,,,,
pork,bottled water,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
dessert,sliced cheese,,,,,,,,,
soda,root vegetables,,,,,,,,,
herbs,whole milk,,,,,,,,,
yogurt,condensed milk,,,,,,,,,
pip fruit,candy,,,,,,,,,
citrus fruit,chicken,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
pip fruit,soda,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
brown bread,rolls/buns,processed cheese,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
chicken,root vegetables,,,,,,,,,
frankfurter,frozen dessert,,,,,,,,,
bottled water,whole milk,,,,,,,,,
whole milk,sausage,whole milk,yogurt,cake bar,female sanitary products,soda,,,,
pip fruit,margarine,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
sausage,pip fruit,dish cleaner,,,,,,,,
grapes,shopping bags,artif. sweetener,,,,,,,,
rolls/buns,onions,,,,,,,,,
yogurt,rolls/buns,berries,whole milk,zwieback,brown bread,newspapers,,,,
semi-finished bread,shopping bags,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
butter,whole milk,,,,,,,,,
root vegetables,red/blush wine,salty snack,,,,,,,,
sausage,UHT-milk,,,,,,,,,
soda,whole milk,,,,,,,,,
soda,other vegetables,,,,,,,,,
oil,soda,,,,,,,,,
sausage,dessert,,,,,,,,,
canned beer,chicken,other vegetables,,,,,,,,
tropical fruit,other vegetables,pastry,tropical fruit,long life bakery product,bottled water,UHT-milk,fruit/vegetable juice,,,
bottled beer,bottled water,rolls/buns,root vegetables,,,,,,,
other vegetables,curd,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
whole milk,ice cream,,,,,,,,,
pork,other vegetables,shopping bags,,,,,,,,
domestic eggs,napkins,,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
dessert,herbs,detergent,artif. sweetener,,,,,,,
pastry,misc. beverages,,,,,,,,,
sweet spreads,butter,,,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
pork,processed cheese,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
tropical fruit,grapes,sugar,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
beef,white bread,,,,,,,,,
pastry,brown bread,,,,,,,,,
beef,salty snack,,,,,,,,,
soda,beverages,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
cat food,curd,bottled water,frozen vegetables,tea,,,,,,
salt,whole milk,pickled vegetables,,,,,,,,
chicken,berries,whipped/sour cream,,,,,,,,
packaged fruit/vegetables,root vegetables,sliced cheese,pip fruit,,,,,,,
canned beer,pastry,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
whole milk,pastry,fruit/vegetable juice,,,,,,,,
rolls/buns,bottled beer,coffee,pastry,brown bread,brown bread,napkins,napkins,,,
pork,shopping bags,,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
white bread,white bread,,,,,,,,,
whole milk,butter,,,,,,,,,
margarine,yogurt,,,,,,,,,
pastry,detergent,,,,,,,,,
bottled beer,butter,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
white wine,processed cheese,,,,,,,,,
prosecco,dessert,,,,,,,,,
rolls/buns,newspapers,specialty fat,domestic eggs,,,,,,,
misc. beverages,waffles,bottled beer,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
soda,citrus fruit,,,,,,,,,
fish,whole milk,,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,sausage,rolls/buns,sweet spreads,instant coffee,fruit/vegetable juice,long life bakery product,shopping bags,,,
newspapers,sausage,,,,,,,,,
misc. beverages,packaged fruit/vegetables,,,,,,,,,
sparkling wine,female sanitary products,,,,,,,,,
flour,pastry,,,,,,,,,
soda,chocolate,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
oil,bottled water,,,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
pip fruit,cereals,,,,,,,,,
coffee,cream cheese ,,,,,,,,,
pork,other vegetables,yogurt,white bread,,,,,,,
whipped/sour cream,pork,pastry,soda,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
chicken,cream cheese ,napkins,,,,,,,,
flower soil/fertilizer,waffles,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
pastry,whipped/sour cream,pickled vegetables,,,,,,,,
whole milk,bottled water,,,,,,,,,
ham,rolls/buns,,,,,,,,,
brown bread,oil,,,,,,,,,
mustard,sugar,baking powder,,,,,,,,
pork,brown bread,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
whole milk,hair spray,waffles,,,,,,,,
sausage,hamburger meat,other vegetables,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
canned beer,rolls/buns,artif. sweetener,soda,,,,,,,
bottled water,cream cheese ,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
hamburger meat,ice cream,,,,,,,,,
berries,coffee,,,,,,,,,
cat food,whole milk,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
pork,cat food,,,,,,,,,
sausage,packaged fruit/vegetables,misc. beverages,,,,,,,,
meat,pasta,,,,,,,,,
pip fruit,frozen fish,,,,,,,,,
pastry,other vegetables,,,,,,,,,
pip fruit,pastry,rolls/buns,chocolate,soda,,,,,,
pork,whipped/sour cream,,,,,,,,,
rolls/buns,soda,red/blush wine,,,,,,,,
pot plants,yogurt,other vegetables,,,,,,,,
specialty chocolate,soda,pet care,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
brown bread,detergent,,,,,,,,,
citrus fruit,liquor,,,,,,,,,
curd,soda,whole milk,,,,,,,,
root vegetables,pastry,soda,,,,,,,,
soda,salty snack,candy,,,,,,,,
whole milk,other vegetables,,,,,,,,,
meat,tropical fruit,,,,,,,,,
snack products,liquor (appetizer),,,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
whole milk,processed cheese,pastry,baking powder,fruit/vegetable juice,coffee,newspapers,,,,
yogurt,frozen fish,chocolate,butter,,,,,,,
pastry,yogurt,,,,,,,,,
yogurt,condensed milk,yogurt,,,,,,,,
bottled water,sugar,candy,,,,,,,,
misc. beverages,bottled beer,dishes,onions,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
tropical fruit,frozen fish,soda,newspapers,,,,,,,
chicken,citrus fruit,other vegetables,margarine,hard cheese,soft cheese,,,,,
chicken,domestic eggs,,,,,,,,,
canned vegetables,other vegetables,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
white wine,sugar,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
hamburger meat,shopping bags,,,,,,,,,
other vegetables,meat,,,,,,,,,
pip fruit,specialty chocolate,liquor,rolls/buns,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
UHT-milk,herbs,newspapers,,,,,,,,
yogurt,soft cheese,,,,,,,,,
beverages,shopping bags,,,,,,,,,
root vegetables,rolls/buns,UHT-milk,packaged fruit/vegetables,,,,,,,
tropical fruit,root vegetables,rolls/buns,onions,shopping bags,,,,,,
rolls/buns,hard cheese,,,,,,,,,
rolls/buns,sugar,,,,,,,,,
soda,domestic eggs,,,,,,,,,
finished products,other vegetables,misc. beverages,coffee,rolls/buns,,,,,,
beef,whole milk,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
cling film/bags,UHT-milk,pastry,,,,,,,,
butter,root vegetables,,,,,,,,,
sausage,soda,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
other vegetables,whipped/sour cream,whole milk,sugar,,,,,,,
dishes,salty snack,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
bags,other vegetables,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
coffee,white bread,,,,,,,,,
cat food,whole milk,chocolate,,,,,,,,
ham,rolls/buns,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
whole milk,light bulbs,,,,,,,,,
pork,root vegetables,shopping bags,,,,,,,,
finished products,cream cheese ,,,,,,,,,
pastry,canned beer,whipped/sour cream,grapes,,,,,,,
ham,other vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
meat,sugar,margarine,cat food,,,,,,,
tropical fruit,onions,whipped/sour cream,,,,,,,,
ham,frozen meals,,,,,,,,,
whole milk,turkey,long life bakery product,,,,,,,,
pork,whole milk,,,,,,,,,
